epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.273,1.72507,2.47706,1.58016,0.27058,0.24167,0.18281,0.08634,1.98822,2.82858,2.09046,0.000664944,0.000664944,0.000664944
2,289.956,1.78303,1.92002,1.64189,0.62768,0.46389,0.53164,0.25947,1.77632,2.17535,1.87245,0.00130524,0.00130524,0.00130524
3,429.494,1.79118,1.84521,1.66848,0.56945,0.38637,0.43259,0.1968,1.95772,2.06964,1.889,0.00191915,0.00191915,0.00191915
4,566.924,1.73569,1.71326,1.62525,0.74906,0.57489,0.65576,0.34316,1.70143,1.50292,1.68961,0.0018812,0.0018812,0.0018812
5,705.331,1.68316,1.59499,1.58006,0.76418,0.63657,0.71407,0.39166,1.62301,1.32335,1.64225,0.0018416,0.0018416,0.0018416
6,844.209,1.63088,1.51537,1.55295,0.77224,0.59722,0.69854,0.37595,1.68563,1.35327,1.64056,0.001802,0.001802,0.001802
7,979.715,1.59958,1.46696,1.52716,0.81746,0.66528,0.7657,0.43808,1.58201,1.23462,1.58979,0.0017624,0.0017624,0.0017624
8,1116.78,1.56434,1.38694,1.50655,0.84185,0.67034,0.78742,0.44176,1.53435,1.19761,1.57605,0.0017228,0.0017228,0.0017228
9,1253.09,1.55586,1.36171,1.48869,0.81746,0.72269,0.8079,0.45899,1.51453,1.11835,1.5417,0.0016832,0.0016832,0.0016832
10,1388.69,1.53915,1.32978,1.48747,0.86928,0.7,0.80963,0.47225,1.49881,1.10468,1.54998,0.0016436,0.0016436,0.0016436
11,1526.04,1.51367,1.27949,1.46159,0.85305,0.73519,0.83079,0.48966,1.43679,1.03196,1.47906,0.001604,0.001604,0.001604
12,1660.91,1.49251,1.24119,1.43536,0.87524,0.73287,0.8413,0.49809,1.44579,1.02249,1.48236,0.0015644,0.0015644,0.0015644
13,1796.38,1.46766,1.21644,1.42425,0.85671,0.73241,0.8245,0.48941,1.45628,1.01364,1.49585,0.0015248,0.0015248,0.0015248
14,1932.06,1.46137,1.19083,1.42188,0.87466,0.73935,0.85052,0.51695,1.38955,1.00618,1.4352,0.0014852,0.0014852,0.0014852
15,2066.29,1.44999,1.1616,1.41839,0.87069,0.76684,0.86567,0.53016,1.40458,0.92115,1.45773,0.0014456,0.0014456,0.0014456
16,2201.09,1.4386,1.14868,1.3987,0.87708,0.77731,0.86749,0.5292,1.37975,0.93099,1.4289,0.001406,0.001406,0.001406
17,2337.12,1.4224,1.13322,1.38843,0.88546,0.75602,0.86047,0.52819,1.37801,0.92,1.43254,0.0013664,0.0013664,0.0013664
18,2470.69,1.41869,1.12226,1.40045,0.8749,0.77709,0.86904,0.53834,1.38344,0.89068,1.44683,0.0013268,0.0013268,0.0013268
19,2604.85,1.38742,1.08835,1.37935,0.89801,0.77856,0.87561,0.54205,1.36222,0.87549,1.42391,0.0012872,0.0012872,0.0012872
20,2739.5,1.39617,1.08114,1.37756,0.91599,0.79537,0.88879,0.54578,1.36335,0.84426,1.40507,0.0012476,0.0012476,0.0012476
21,2875.12,1.37328,1.04252,1.35158,0.90357,0.79817,0.89438,0.55676,1.3569,0.82103,1.38603,0.001208,0.001208,0.001208
22,3010.38,1.3696,1.0451,1.35152,0.88262,0.80416,0.88405,0.54865,1.35858,0.83836,1.38916,0.0011684,0.0011684,0.0011684
23,3146.56,1.35274,1.02848,1.34298,0.90999,0.80032,0.89841,0.56694,1.34181,0.80629,1.37261,0.0011288,0.0011288,0.0011288
24,3281.88,1.34543,1.01357,1.33905,0.90004,0.81707,0.90099,0.56985,1.31694,0.79599,1.3736,0.0010892,0.0010892,0.0010892
25,3417.62,1.33412,0.99977,1.33611,0.89971,0.80986,0.89522,0.57174,1.31571,0.78498,1.36501,0.0010496,0.0010496,0.0010496
26,3552.82,1.33153,0.99159,1.33247,0.88912,0.80417,0.88533,0.55735,1.32679,0.80246,1.38249,0.00101,0.00101,0.00101
27,3688.57,1.32658,0.98262,1.31992,0.91213,0.81389,0.90455,0.57839,1.31029,0.76907,1.3414,0.0009704,0.0009704,0.0009704
28,3824.24,1.32529,0.97036,1.31988,0.90831,0.80741,0.90019,0.57274,1.29485,0.76981,1.34181,0.0009308,0.0009308,0.0009308
29,3959.01,1.30717,0.94285,1.30355,0.91572,0.82593,0.91148,0.58106,1.31382,0.74116,1.3593,0.0008912,0.0008912,0.0008912
30,4093.6,1.30237,0.94757,1.30214,0.90975,0.80271,0.90391,0.57304,1.30934,0.75369,1.35622,0.0008516,0.0008516,0.0008516
31,4228.41,1.29188,0.92838,1.29144,0.9035,0.81667,0.90664,0.58054,1.2887,0.75275,1.33894,0.000812,0.000812,0.000812
32,4363,1.28309,0.9153,1.28725,0.91797,0.81806,0.91414,0.58891,1.28257,0.72051,1.32525,0.0007724,0.0007724,0.0007724
33,4497.38,1.27063,0.90359,1.28076,0.93102,0.83472,0.92197,0.59568,1.27094,0.69955,1.31999,0.0007328,0.0007328,0.0007328
34,4634.06,1.25636,0.89445,1.27603,0.92132,0.83102,0.91249,0.59406,1.27085,0.72036,1.33157,0.0006932,0.0006932,0.0006932
35,4770.89,1.25063,0.87335,1.26896,0.9159,0.84259,0.91784,0.59956,1.26172,0.70469,1.31815,0.0006536,0.0006536,0.0006536
36,4909.11,1.23891,0.85762,1.26131,0.92441,0.83889,0.91702,0.59672,1.27196,0.68498,1.31604,0.000614,0.000614,0.000614
37,5047.04,1.24799,0.86361,1.26019,0.92491,0.85787,0.92334,0.60741,1.24507,0.6719,1.30127,0.0005744,0.0005744,0.0005744
